Date,DIA,TLT,CASH,DIA_CHOICE,TLT_CHOICE,CASH_CHOICE,DateCopy,B_FREQ,DIA_LEN,DIA_LEX,DIA_NUL,DIA_R,TLT_LEN,TLT_LEX,TLT_NUL,TLT_R,CASH_LEN,CASH_LEX,CASH_NUL,CASH_R,ALL_R,DETREND_ALL_R,I,DETREND_I
2015-01-02,,,,0.0,0.0,1.0,2015-01-02,both,False,True,0.0,,False,True,0.0,,True,False,0.0,,,,1.0,1.0
2015-01-05,-0.01742140318532459,0.01570902857217993,0.0,0.0,0.0,1.0,2015-01-05,both,False,True,0.0,,False,True,0.0,,True,False,1.0,,,,,
2015-01-06,-0.008293562434825263,0.018016848124290608,0.0,0.0,0.0,1.0,2015-01-06,both,False,True,0.0,-0.0,False,True,0.0,0.0,True,False,1.0,0.0,0.0,0.0,1.0,1.0
2015-01-07,0.012688060168074777,-0.001974927775621693,0.0,0.0,0.0,1.0,2015-01-07,both,False,True,0.0,0.0,False,True,0.0,-0.0,True,False,1.0,0.0,0.0,0.0,1.0,1.0
2015-01-08,0.01805363854165809,-0.013242651567018981,0.0,0.0,0.0,1.0,2015-01-08,both,False,True,0.0,0.0,False,True,0.0,-0.0,True,False,1.0,0.0,0.0,0.0,1.0,1.0
2015-01-09,-0.00861493093339638,0.010952218138072567,0.0,0.0,0.0,1.0,2015-01-09,both,False,True,0.0,-0.0,False,True,0.0,0.0,True,False,1.0,0.0,0.0,0.0,1.0,1.0
2015-01-12,-0.005530276582187299,0.005722292873972634,0.0,0.0,0.0,1.0,2015-01-12,both,False,True,0.0,-0.0,False,True,0.0,0.0,True,False,1.0,0.0,0.0,0.0,1.0,1.0
2015-01-13,-0.0014753213616006677,0.0,0.0,0.0,0.0,1.0,2015-01-13,both,False,True,0.0,-0.0,False,True,0.0,0.0,True,False,1.0,0.0,0.0,0.0,1.0,1.0
2015-01-14,-0.010910043939530989,0.007585915858153491,0.0,0.0,0.0,1.0,2015-01-14,both,False,True,0.0,-0.0,False,True,0.0,0.0,True,False,1.0,0.0,0.0,0.0,1.0,1.0
2015-01-15,-0.005745317885085921,0.01573528096891952,0.0,0.0,0.0,1.0,2015-01-15,both,False,True,0.0,-0.0,False,True,0.0,0.0,True,False,1.0,0.0,0.0,0.0,1.0,1.0
2015-01-16,0.010167106392259706,-0.012748744382107269,0.0,0.0,0.0,1.0,2015-01-16,both,False,True,0.0,0.0,False,True,0.0,-0.0,True,False,1.0,0.0,0.0,0.0,1.0,1.0
