,lookback,frequency,ShortTermWeight,LongTermWeight,RSI_weight,v_ratio_weight,Z_weight,TotalAnnReturn,CAGR,sharpe,volatility,p_val
18,10,1W-FRI-100%,3,1,1,0,0,2.587780094,0.386,1.301972723,0.295027087,0.0093
19,10,1W-FRI-100%,3,1,2,0,0,2.397003239,0.3758,1.27711759,0.29466751,0.01048
20,10,1W-FRI-100%,3,1,3,0,0,2.237749137,0.3668,1.260304142,0.292705843,0.00892
328,25,1W-FRI-100%,1,2,2,0,0,1.25080301,0.294,1.201751317,0.250067772,0.09978
329,25,1W-FRI-100%,1,2,3,0,0,1.267754042,0.2956,1.194092084,0.253470673,0.08392
9,10,1W-FRI-100%,2,1,1,0,0,1.654038768,0.3282,1.168850444,0.289118827,0.0193
10,10,1W-FRI-100%,2,1,2,0,0,1.662380555,0.3288,1.168176223,0.289903645,0.02804
11,10,1W-FRI-100%,2,1,3,0,0,1.586342829,0.323,1.146993272,0.291692622,0.02666
23,10,1W-FRI-100%,3,2,3,0,0,1.506179123,0.3165,1.137996008,0.288811992,0.01262
0,10,1W-FRI-100%,1,1,1,0,0,1.351525225,0.3033,1.116237644,0.283859104,0.03566
13,10,1W-FRI-100%,2,2,2,0,0,1.351525225,0.3033,1.116237644,0.283859104,0.0369
26,10,1W-FRI-100%,3,3,3,0,0,1.351525225,0.3033,1.116237644,0.283859104,0.03618
12,10,1W-FRI-100%,2,2,1,0,0,1.336367944,0.3019,1.112026592,0.283978821,0.03722
24,10,1W-FRI-100%,3,3,1,0,0,1.336367944,0.3019,1.112026592,0.283978821,0.03762
25,10,1W-FRI-100%,3,3,2,0,0,1.336367944,0.3019,1.112026592,0.283978821,0.03788
330,25,1W-FRI-100%,1,3,1,0,0,0.97537731,0.2649,1.108903663,0.249435677,0.12514
14,10,1W-FRI-100%,2,2,3,0,0,1.314722104,0.3,1.10732038,0.283680023,0.03484
21,10,1W-FRI-100%,3,2,1,0,0,1.339724853,0.3022,1.10512347,0.286471117,0.02536
332,25,1W-FRI-100%,1,3,3,0,0,0.969577739,0.2642,1.100238284,0.251316196,0.11944
22,10,1W-FRI-100%,3,2,2,0,0,1.318733177,0.3003,1.099232027,0.286662255,0.02338
331,25,1W-FRI-100%,1,3,2,0,0,0.957706176,0.2628,1.097117578,0.250869564,0.11498
327,25,1W-FRI-100%,1,2,1,0,0,0.9405536,0.2607,1.093688843,0.249856067,0.1471
1,10,1W-FRI-100%,1,1,2,0,0,1.205194915,0.2896,1.072785294,0.285443765,0.05854
338,25,1W-FRI-100%,2,2,3,0,0,0.841765958,0.2483,1.056911949,0.248390362,0.16168
15,10,1W-FRI-100%,2,3,1,0,0,1.048327566,0.2732,1.045718881,0.278037305,0.03928
2,10,1W-FRI-100%,1,1,3,0,0,1.140850268,0.2831,1.044562703,0.289115063,0.0556
16,10,1W-FRI-100%,2,3,2,0,0,1.037687731,0.272,1.042778164,0.277839187,0.03838
3,10,1W-FRI-100%,1,2,1,0,0,1.044813977,0.2728,1.041860483,0.279029118,0.0439
17,10,1W-FRI-100%,2,3,3,0,0,1.050114151,0.2734,1.041531676,0.279775194,0.05212
4,10,1W-FRI-100%,1,2,2,0,0,1.036042023,0.2718,1.036345958,0.280010819,0.05762
